Model;acc;val_acc;test_acc
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adagrad;0.9982108334277539;0.994976714970652;0.9208619001096189
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adagrad;0.9973243094505148;0.9938807249809577;0.9034280117648589
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.9988072222851693;0.9961640363480361;0.8485798237372799
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.9984526126942737;0.9955247091434788;0.8199804113847619
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.9984687313120416;0.9956160418975734;0.886190009805995
model : layers: [40, 20] ['relu', 'relu'] optimizer: Adamax;0.9988072222851693;0.9962553688027193;0.9065621939391978
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.9982591892810578;0.9968946962631373;0.9259549461429196
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.9973565466860508;0.9942460547996902;0.9267384916865044
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.9974049025393547;0.9957073740746204;0.8303623898255836
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.8004352036481669;0.7960544349733732;0.7561214496176343
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.42319471262717234;0.4191250343721897;0.3420176297776496
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.999032882933921;0.9954333769664316;0.8965719882584926
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.4011444238060755;0.3971138911134457;0.4052889324250347
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9980496472500741;0.9964380342455822;0.9457394711184338
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.997050292948459;0.9939720576915014;0.8652301665384552
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.9985009685475775;0.994976714970652;0.9189030362506572
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.9978401052190903;0.9941547228785037;0.8538687561564767
model : layers: [40, 30] ['relu', 'relu'] optimizer: SGD;0.9983236637521298;0.9959813719939419;0.7876591577118921
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.9986943919607933;0.9971686939048227;0.9057786483956131
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.611234687744303;0.6070874061135029;0.5443682664229984
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.9981947148099859;0.9965293667002654;0.9216454456532036
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adam;0.999016764316153;0.9972600260818698;0.8240940254885817
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.8006125084051849;0.7961457674280564;0.7661116552983395
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.9987911036674012;0.9968033635308181;0.9232125367403731
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.9984848499298096;0.9957987065293036;0.8842311459470332
model : layers: [40, 30] ['relu', 'relu'] optimizer: RMSprop;0.9981785961922179;0.9967120310761349;0.9576885406464251
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.998130240338914;0.995433376988207;0.8125367287090313
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9983075451343617;0.996072703893353;0.7902056807285425
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9983720196054336;0.9970773608948675;0.8009794319528324
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adadelta;0.9984687313120416;0.9812768407690655;0.9102840352829009
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adagrad;0.9986460361074894;0.9950680471476991;0.8879529872790607
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adagrad;0.997163123272835;0.9943373877878701;0.8648383937549872
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adagrad;0.9981624775744499;0.9946113848742835;0.8619000979665444
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adagrad;0.9981947148099859;0.9948853822601083;0.8523016650576316
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adamax;0.8100257894440976;0.8090236573929612;0.7388834476704462
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adamax;0.8105899432180468;0.8103023112250285;0.7384916748986539
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adamax;0.9984203754587376;0.9968033638084541;0.8336924583858187
model : layers: [40, 30] ['relu', 'relu'] optimizer: Adamax;0.5994680851678706;0.6019727837626755;0.5518119491512699
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.9987427478140973;0.9944287202425531;0.9167482859941234
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.9976950376591784;0.9962553687809439;0.7465230166736943
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.9987105105785613;0.9963467015350385;0.8558276200037629
model : layers: [40, 30] ['relu', 'relu'] optimizer: Nadam;0.8003062539374267;0.795689104065872;0.6761998041836685
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.999097357404993;0.9975340237017799;0.9506366307658384
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9988555781384731;0.9948853822601083;0.8562193927755551
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.8011444229836775;0.7963284342373241;0.7490695397253718
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9993552552892807;0.9981733506287012;0.9330068560351821
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.9982753078988258;0.9955247094428902;0.8017629774964171
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.9981624775744499;0.9947027173507419;0.9179236043211763
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.9988878153740092;0.9964380342673576;0.8869735553612554
model : layers: [40, 40] ['relu', 'relu'] optimizer: SGD;0.9989684084628491;0.9960727044268497;0.9619980411361411
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.9981785960000688;0.993698060605088;0.8493633692575131
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.8110734998680252;0.8068316746589876;0.740254652348368
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.9987266291963294;0.9956160416199373;0.9032321254023142
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.9977111562769464;0.9970773614283642;0.8158667972926178
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.9980496472500741;0.9967120310761349;0.9490695396786689
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.9981947148099859;0.9966206986214519;0.9422135161606269
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.9983559009876657;0.9931500655993533;0.8150832517490331
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.9989522898450811;0.9969860287178204;0.8387855044307951
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9992585435826727;0.9975340234459192;0.8411361410615493
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9993874925248166;0.9973513587924137;0.8503428011986698
