Model;acc;val_acc;test_acc
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.967008302918506;0.952211719957045;0.7308370044402964
model : layers: [40, 40] ['relu', 'relu'] optimizer: RMSprop;0.96633163477434;0.9624988305817304;0.7474302495628726
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.962552193333931;0.9600673312000616;0.7239353890811119
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adadelta;0.9625191871342489;0.9561395294804753;0.7541850219739166
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.9057285745253949;0.8964743252432872;0.7797356828718983
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adagrad;0.9124127348606393;0.9072290282192371;0.727459618278537
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.9521546043481792;0.946132980421552;0.7208516887631186
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adamax;0.9511148475500454;0.9441690773320891;0.714243759230195
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.972636206119048;0.9714766752281749;0.7550660793476693
model : layers: [40, 40] ['relu', 'relu'] optimizer: Nadam;0.9695499366161695;0.9648368109279248;0.7425844346024041
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9579805549047183;0.9543626611174563;0.7315712187433733
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9618095075176556;0.9574487948622793;0.7422907488461633
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.9089798790186245;0.9027401067126314;0.7185022026956869
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: SGD;0.937432951298666;0.9377162616546992;0.728634361180965
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.9694674171240402;0.9617506771831018;0.6876651983079056
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adam;0.9667937508916653;0.9597867707491344;0.7182085168169109
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9657704956695885;0.9610960405902779;0.7211453745193593
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.9647802469432939;0.9659590415832849;0.722907488934269
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9648462636838195;0.9593191755717634;0.7095447870078065
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.9606707252698414;0.9525857983286116;0.7474302495803777
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.9295770021617856;0.9230337630517353;0.7449339207573609
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adagrad;0.8937135856850141;0.8956326566720871;0.7355359764526244
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9567427431297;0.9529598772185762;0.7365638767044975
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Adamax;0.9593503942525589;0.9555784174972998;0.7400881056568521
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9709362824586727;0.9626858675378439;0.7102790014159137
model : layers: [40, 50, 10] ['relu', 'relu', 'relu'] optimizer: Nadam;0.9736429591226978;0.970915557152427;0.7182085168344159
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.969054813460048;0.9650238478840384;0.7290748899378615
