Model;acc;val_acc;test_acc
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adam;0.966093524636782;0.94021244340312;0.942631767658659
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.956237607523564;0.943702580082218;0.94258054602264
model : layers: [40, 40] ['relu', 'relu'] optimizer: Adam;0.949488452853857;0.9399089482196;0.941812221482354
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.952488076540633;0.938239759215817;0.941760999846335
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.962665380525617;0.939908951747038;0.940736567125954
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.96628100070415;0.941274656420955;0.940582902217897
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.963736677056139;0.941881632226009;0.940531680581877
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.955059183244758;0.93975720736615;0.940480458945859
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.950693659116028;0.944157811687278;0.940121907493725
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.953907542564827;0.937481031160977;0.940019464221687
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.955862654431017;0.945068280957357;0.939609691133535
model : layers: [40, 20] ['relu', 'relu'] optimizer: Nadam;0.94646204415703;0.938998480487123;0.938841366593249
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.96413841374756;0.939757203657819;0.938687701685192
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.953345113162268;0.936570558453909;0.938329150233058
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adam;0.960147835087193;0.935660092259032;0.937816933872868
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.949783058565975;0.931714715472845;0.937765712236849
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.956987513670343;0.935356596894619;0.937612047328792
model : layers: [40, 50, 50, 10] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.951229305934993;0.942488615266832;0.937560825692773
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.948256462258489;0.937481027723987;0.937509604056753
model : layers: [40, 50, 30] ['relu', 'relu', 'relu'] optimizer: RMSprop;0.959906796362105;0.938239759668052;0.937304717512677
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.955594832541263;0.935508349506193;0.937304717512677
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.955219879129446;0.937329288408137;0.936587614608411
model : layers: [40, 20] ['relu', 'relu'] optimizer: RMSprop;0.944399802569463;0.9361153252208;0.935921733340163
model : layers: [40, 50, 40] ['relu', 'relu', 'relu'] optimizer: Adadelta;0.954978838118381;0.935053112655199;0.935921733340163
model : layers: [40, 50, 50, 40] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.947104822893953;0.934901368093418;0.935716846796087
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adadelta;0.956612564990118;0.934294387946903;0.93551196025201
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.948042205446527;0.93687404920552;0.935307073707934
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.949542016201202;0.934901365199111;0.935255852071915
model : layers: [40, 50, 50, 30] ['relu', 'relu', 'relu', 'relu'] optimizer: Adamax;0.949756276525142;0.933990891225783;0.934385084259591
model : layers: [40, 50, 50, 20] ['relu', 'relu', 'relu', 'relu'] optimizer: RMSprop;0.965932831529749;0.929286798323775;0.93407775444653
model : layers: [40, 50, 20] ['relu', 'relu', 'relu'] optimizer: Adam;0.945042580725314;0.932776933284378;0.934077754443477
