epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.7198296655315662,1.1098223392604165,0.0859620189448367,0.7975720768633309,0.5358943225581295,0.05726583592582364
1,0.835770528297597,0.45970971272616096,0.048183277994633754,0.8559939342131202,0.4023847460565871,0.04300629186453877
2,0.8710161230867935,0.3600304570445941,0.03789378490245708,0.8729893786773334,0.35788951563183924,0.03763800855494233
3,0.8902190807795536,0.3085446093961572,0.03255640715540231,0.8957511347595585,0.29121283438390233,0.030630069054177027
4,0.9041726916455336,0.27228148156260507,0.028586603170726223,0.8995447645418922,0.28432966653421543,0.029409688011331876
5,0.9169746649285084,0.23869596077464977,0.024997969683842595,0.9088012139243674,0.25442162884204267,0.026674071524704895
6,0.9265091879608303,0.2133342664457554,0.022184793235493355,0.9242792162077561,0.22927731171544297,0.023402908506021693
7,0.935615190926346,0.18843953290770551,0.01965167395328759,0.9276176004561741,0.21863100276369607,0.02172986405854974
8,0.94105201060863,0.1738369702746894,0.01807694236579156,0.9291350532193104,0.21781616830952433,0.021908284923872926
9,0.9463013510499962,0.16012043022970235,0.01648612110043697,0.9408194218311396,0.17805335721586107,0.01788790747579837
10,0.950131229636844,0.14660926679736627,0.015229074225169698,0.9389984838336661,0.1895358708993799,0.01869529713233523
11,0.9547913627853365,0.13545973751947585,0.014040652516549073,0.9482549244427717,0.16524658669832082,0.01601749382155618
12,0.9535058090278004,0.1393097039972416,0.014107490247096037,0.9367223063622332,0.19369052881897852,0.01880319927266498
13,0.9611119974073928,0.11765070982399914,0.01204431643546413,0.9358118338360591,0.2076225330281511,0.020182495467556988
14,0.9633885047273443,0.10565014304804224,0.010946712886810948,0.9393019739521472,0.20167161069799083,0.01851409070238991
15,0.9647811896302039,0.1061511801334159,0.010913768917879086,0.953414257180528,0.15671566592272207,0.014585248328892342
16,0.9664684816372019,0.09979169600769879,0.010311116231468223,0.9558421812035788,0.14372934706294302,0.013558631706332763
17,0.9679147289679069,0.09711914455857451,0.009952514703800633,0.95599392639849,0.1415790281681081,0.01358919001957444
18,0.9696555824066256,0.09206053099712591,0.009510479020842273,0.9531107637155037,0.15179956318847326,0.014790007584531861
19,0.9699501888339103,0.08920240445323223,0.009240596054367391,0.9573596301679366,0.1408284095106067,0.013413443169323374
