epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.773354440147808,0.7112617537818776,0.06688596402030948,0.7677053848564681,0.6531816740099049,0.06905303854315882
1,0.8833694374177917,0.3291626618472045,0.03458094961228589,0.8643059482880647,0.3860129274153507,0.040107562395764254
2,0.9155974022608323,0.2439673435656235,0.02544338414108747,0.8595845178121435,0.4246539278228515,0.04364326615959434
3,0.9316613913734562,0.2007082122536505,0.020737389105759653,0.9100094400451811,0.26815658332155606,0.027594312332479092
4,0.9430428234820881,0.16876317165112856,0.017418476119898215,0.7685552412772426,1.127404295013579,0.08083594121862066
5,0.9464255931714717,0.15561341732328204,0.016155610171715788,0.8015108596501878,0.9970368773898952,0.06674950201912125
6,0.9490418209272352,0.15470256316097672,0.015386493721692249,0.9272899022633676,0.22633108550135655,0.02232340217072858
7,0.9584735834167473,0.12078047761533126,0.012483334768618758,0.8540132238799609,0.5799133057747391,0.047645484221302416
8,0.9625895645514744,0.1112909438012491,0.011464871747255974,0.9517469250784379,0.1559863301439033,0.014825942079212106
9,0.9642726225249868,0.10260196277560796,0.010722825552475826,0.9494806359802584,0.1585200825342038,0.015624522622868179
10,0.9673221171289618,0.09484619517645981,0.009886448827712307,0.9388101977824714,0.19487764841830313,0.018773946627918228
11,0.9689051859022438,0.0918353595269617,0.009556391139739433,0.9580736478845165,0.1295569079441772,0.012657866001523138
12,0.9713714439418788,0.0849080337256496,0.00874228197106633,0.8732766724623409,0.5004325665540578,0.040273918199499784
13,0.9702716278763657,0.08821832622300385,0.009074953425785197,0.8263456088625338,0.9019366220216688,0.05883483433914815
14,0.9722712960884464,0.08324567419708823,0.008495170494577492,0.9589235095959773,0.14091399952248654,0.012970676986857672
15,0.9766039107366713,0.07186654701126236,0.007338686483584554,0.9567516462435915,0.16118515911138317,0.013737472787330576
16,0.9766539019597528,0.06782911132746111,0.007015953217027034,0.9128423072010757,0.34163624051047226,0.02857875626980977
17,0.9760206719871919,0.06970233943110365,0.007178561718559609,0.9600566530475311,0.1363117287218627,0.012814353710889985
18,0.9782203088460655,0.06363398074598446,0.0065864768316256156,0.9639282309299826,0.12708472320502157,0.011274501639554617
19,0.9789201939151677,0.06147991223833428,0.0064231918212613115,0.9661000923687157,0.1227618694811975,0.010866899367833442
