epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.7723410644540349,0.64137935085901,0.06428916929081117,0.8523787851217475,0.39944255975474263,0.042091400045184975
1,0.8833785276941186,0.3356754385384616,0.03462454469505414,0.8983610296558743,0.29017199368648366,0.029956116093860695
2,0.9165411290244141,0.2501722861197719,0.02542592775859698,0.9227179645298011,0.2308650089475741,0.023731075959513757
3,0.9344782586783497,0.20174042133905687,0.020169936816874123,0.9410425706385155,0.18276329558184118,0.018531120713607695
4,0.9441799750358714,0.17141105025105774,0.01713166176315752,0.9232870481048443,0.22479126590369586,0.023489163959542602
5,0.9517726251144444,0.14995884875719886,0.014931402665929489,0.9520828648875901,0.15061273659358337,0.014831060287134538
6,0.9564527506580239,0.13713461625563447,0.013611896386839793,0.9537901261686981,0.15180962331781295,0.014552624216915914
7,0.9584011290163666,0.12818005441889008,0.0128086386303187,0.9540177586272396,0.1471983283527506,0.01461667628918965
8,0.9622175394501015,0.11803393496449806,0.01180059229791392,0.9580013692555384,0.1344843944477419,0.012851884151876122
9,0.9645475608416323,0.10843549770965949,0.010894569759193066,0.957204645922318,0.13251944909992885,0.013057830288536437
10,0.9661946422521926,0.10239058615656829,0.0103995151497864,0.9630093386470118,0.12273071948824725,0.01188495344458618
11,0.9690268230663314,0.09454520976443456,0.009578121068376808,0.9597086310522339,0.12461566293029966,0.011998243420368924
12,0.968846045489099,0.09594592933153082,0.009568192917691124,0.9667653177801037,0.10782212718529213,0.01030225758646434
13,0.971336754980822,0.08691315114291615,0.008809305905325918,0.961529707205803,0.12976784279602632,0.012412798064770404
14,0.9719393471044697,0.0848828308700324,0.008597167817852079,0.9659685913126533,0.10996549755322982,0.010573546960064791
15,0.9721402096331713,0.08305894462261722,0.008489589581830619,0.9672205815031945,0.1165603811729885,0.010746680466029323
16,0.9738877258698744,0.07847321646558726,0.008011396666532515,0.9652856893781484,0.11665725589202174,0.010799445765423268
17,0.9750728233039911,0.07689484743633561,0.007760407232639066,0.9674482210714183,0.10835175264364708,0.010408262371225717
18,0.9760168826435182,0.0727832184148006,0.007342177897655154,0.9710903786158415,0.1031343513646458,0.00958104162203104
19,0.9760972274059726,0.07090149324829169,0.007318317742830008,0.9680173092324778,0.1126884191192902,0.010356771661982664
